tweet,topic,label,opinion_towards,sentiment,text,target_in_tweet,seen?
I'm proud to announce I support #HillaryClinton!!!! #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""im"", ""proud"", ""announce"", ""support"", ""hillary"", ""clinton"", ""sem"", ""st""]]",1,1
@TODAYshow Hillary's emails missing and incomplete? Who'd of thunk it??  JUST TRUST ME!!! #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillarys"", ""emails"", ""missing"", ""incomplete"", ""whod"", ""thunk"", ""trust"", ""sem"", ""st""]]",1,1
#HillaryInNH is like Adolph Hitler in a Synagogue.   #tcot #uniteblue #ctot #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillary"", ""nh"", ""like"", ""adolph"", ""hitler"", ""synagogue"", ""tcot"", ""uniteblue"", ""ctot"", ""sem"", ""st""]]",1,1
"@Temp15544 @icedecay @BrooklynJuggler @classic_mouth In this context, to all practical extents and purposes? It means #SemST","[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,"[[""context"", ""practical"", ""extents"", ""purposes"", ""means"", ""sem"", ""st""]]",0,1
@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""course"", ""disappointed"", ""hillary"", ""approves"", ""lying"", ""americans"", ""wake"", ""america"", ""pjnet"", ""sem"", ""st""]]",1,1
@SenSanders bashes Obama job numbers.Calling it a lie. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""bashes"", ""obama"", ""job"", ""numbers"", ""calling"", ""lie"", ""istandwith"", ""president"", ""obama"", ""vote"", ""blue"", ""2016"", ""hillary"", ""clinton"", ""democrats"", ""sem"", ""st""]]",1,1
"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world","[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""hillary"", ""clinton"", ""us"", ""presidency"", ""testament"", ""success"", ""women"", ""role"", ""world""]]",1,1
I'm a woman. Can I be President? @StopHillaryPAC #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""im"", ""woman"", ""president"", ""sem"", ""st""]]",1,1
I think I am going to vote for Monica Lewinsky's Ex- boyfriends Wife #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""think"", ""going"", ""vote"", ""monica"", ""lewinskys"", ""ex"", ""boyfriends"", ""wife"", ""sem"", ""st""]]",0,1
@Xxoax @HillaryClinton @MaryMorientes   @BarackObama The whole #world is supporting you. #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""whole"", ""world"", ""supporting"", ""sem"", ""st""]]",1,1
@redsteeze @maggieNYT By that time the guy with #Benghazi sign will be arrested. #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""time"", ""guy"", ""benghazi"", ""sign"", ""arrested"", ""sem"", ""st""]]",0,1
@JSavoly @tedcruz Here ya go teddy boy..the world is getting HOTTER!! It's called GLOBAL WARMING!!  You're such a PUTZ!! #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""ya"", ""go"", ""teddy"", ""boy"", ""world"", ""getting"", ""hotter"", ""called"", ""global"", ""warming"", ""youre"", ""putz"", ""sem"", ""st""]]",0,1
"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""top"", ""spent"", ""whole"", ""career"", ""growing"", ""government"", ""keeping"", ""deck"", ""stacked"", ""liberty"", ""hillary"", ""sem"", ""st""]]",1,1
@dougshelton749 @realDonaldTrump  I'd be happy if that scandal brings her down.  There will be others...  #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""id"", ""happy"", ""scandal"", ""brings"", ""others"", ""sem"", ""st""]]",0,1
@lajouetreine @KarrattiPaul I'm not a Genitalian #SemST,"[""hillary"", ""clinton""]",2,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg,"[[""im"", ""genitalian"", ""sem"", ""st""]]",0,1
"I will give the Jewish state all the support to vanquish Hamas & if that means killing 200,000 Gazans, than so be it. - #SemST","[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""give"", ""jewish"", ""state"", ""support"", ""vanquish"", ""hamas"", ""means"", ""killing"", ""200"", ""000"", ""gazans"", ""sem"", ""st""]]",0,1
.@politicoroger It is 2015. You and the other high minded media are not more important than then story. Have a seat. #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""2015"", ""high"", ""minded"", ""media"", ""important"", ""story"", ""seat"", ""sem"", ""st""]]",0,1
How can she live with herself? #Benghazi #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""live"", ""benghazi"", ""sem"", ""st""]]",0,1
"#WhyImNotVotingForHillary she calls education a ""non-family enterprise"" #ImCommitted2DefeatHillary Are you? #ncpol @GOP #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""im"", ""voting"", ""hillary"", ""calls"", ""education"", ""nonfamily"", ""enterprise"", ""im"", ""committed"", ""2"", ""defeat"", ""hillary"", ""ncpol"", ""sem"", ""st""]]",1,1
"#HillaryDebateQuestion So you profess admiration for #MargaretSanger who wanted to rid the country of ""negros"". Explain please? #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillary"", ""debate"", ""question"", ""profess"", ""admiration"", ""margaret"", ""sanger"", ""wanted"", ""rid"", ""country"", ""negros"", ""explain"", ""please"", ""sem"", ""st""]]",1,1
@WestonMartinez @crazytas62 Cruz needs to autograph bomb #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,"[[""cruz"", ""needs"", ""autograph"", ""bomb"", ""sem"", ""st""]]",0,1
I dreamt about Hilary Clinton last night. Does this mean her plans to control us and take over the world are coming true? #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""dreamt"", ""hilary"", ""clinton"", ""last"", ""night"", ""mean"", ""plans"", ""control"", ""us"", ""take"", ""world"", ""coming"", ""true"", ""sem"", ""st""]]",1,1
"I've made my decision, to the shock of no one probably, who I'm supporting  #SemST","[""hillary"", ""clinton""]",2,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg,"[[""ive"", ""made"", ""decision"", ""shock"", ""one"", ""probably"", ""im"", ""supporting"", ""sem"", ""st""]]",0,1
Take care of your finances. Spend sensibly. Save for a rainy day. Live within your means. Resist greed. #Greece #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""take"", ""care"", ""finances"", ""spend"", ""sensibly"", ""save"", ""rainy"", ""day"", ""live"", ""within"", ""means"", ""resist"", ""greed"", ""greece"", ""sem"", ""st""]]",0,1
@readyforHRC   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""support"", ""encourage"", ""hillary"", ""clinton"", ""president"", ""united"", ""states"", ""world"", ""success"", ""women"", ""world"", ""sem"", ""st""]]",1,1
@GREG61032 @CarmineZozzora @Ash_Bell__  perfect definition of JIBBERISH  #UniteBlue #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""perfect"", ""definition"", ""jibberish"", ""unite"", ""blue"", ""sem"", ""st""]]",0,1
Great that @HillaryClinton attended #ClementaPinckney 's funeral today!! #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""great"", ""attended"", ""clementa"", ""pinckney"", ""funeral"", ""today"", ""sem"", ""st""]]",1,1
Come visit me at the Jefferson County Fair! Representative Curt Hanson will tell a joke and I'll tell a story about why vote #SemST,"[""hillary"", ""clinton""]",2,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos,"[[""come"", ""visit"", ""jefferson"", ""county"", ""fair"", ""representative"", ""curt"", ""hanson"", ""tell"", ""joke"", ""ill"", ""tell"", ""story"", ""vote"", ""sem"", ""st""]]",0,1
Well Strung is what should happed the next time these Hillary-loving ass douches encounter some trees. #RedEye #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""well"", ""strung"", ""happed"", ""next"", ""time"", ""hillaryloving"", ""ass"", ""douches"", ""encounter"", ""trees"", ""red"", ""eye"", ""sem"", ""st""]]",1,1
Y did #randpaul take donations from a #WhiteSupremacy group after shaking hands with black leaders? #BlackLivesMatter #gop #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""randpaul"", ""take"", ""donations"", ""white"", ""supremacy"", ""group"", ""shaking"", ""hands"", ""black"", ""leaders"", ""black"", ""lives"", ""matter"", ""gop"", ""sem"", ""st""]]",0,1
RT @MaxTollensJr: One-percenter lied about being #DeadBroke No more lies. NO to #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""rt"", ""onepercenter"", ""lied"", ""dead"", ""broke"", ""lies"", ""sem"", ""st""]]",0,1
"@trayNTP Why doesn't he run as a Socialist? Then he can hit Obama anytime he wants. Otherwise, it's just not done. #Bernie #SemST","[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""doesnt"", ""run"", ""socialist"", ""hit"", ""obama"", ""anytime"", ""wants"", ""otherwise"", ""done"", ""bernie"", ""sem"", ""st""]]",0,1
@CheerUpKaci @tmacGA70 It's the Clinton history of scandalous behavior.  #Integrity knows no sex. #HillaryonCNN #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""clinton"", ""history"", ""scandalous"", ""behavior"", ""integrity"", ""knows"", ""sex"", ""hillaryon"", ""cnn"", ""sem"", ""st""]]",1,1
#HillaryClinton We've all been waiting for your rainbow-striped pantsuit  #fashionista #LoveWins #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillary"", ""clinton"", ""weve"", ""waiting"", ""rainbowstriped"", ""pantsuit"", ""fashionista"", ""love"", ""wins"", ""sem"", ""st""]]",1,1
@HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime. #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""especially"", ""paid"", ""union"", ""lackies"", ""idea"", ""propaganda"", ""machine"", ""spinning"", ""overtime"", ""sem"", ""st""]]",1,1
"@peddoc63 @Fr3333dom Seems the way we're going. Lord, I hope Bilderbergs don't pay for Hitlery like they did O. #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""seems"", ""way"", ""going"", ""lord"", ""hope"", ""bilderbergs"", ""dont"", ""pay"", ""hitlery"", ""like"", ""sem"", ""st""]]",0,1
@therealjenappel IM HIGH ON HASHTAGS RIGHT NOW I CANT HELP MYSELF #mypresident #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""im"", ""high"", ""hashtags"", ""right"", ""cant"", ""help"", ""mypresident"", ""sem"", ""st""]]",0,1
I just gave an unhealthy amount of my hard-earned money away to the big gov't & untrustworthy IRS. #WhyImNotVotingForHillary,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""gave"", ""unhealthy"", ""amount"", ""hardearned"", ""money"", ""away"", ""big"", ""govt"", ""untrustworthy"", ""irs"", ""im"", ""voting"", ""hillary""]]",1,1
Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillarys"", ""campaign"", ""events"", ""scripted"", ""dog"", ""pony"", ""shows"", ""designed"", ""shelter"", ""vetting"", ""b4"", ""coronation"", ""sem"", ""st""]]",1,1
Wondering what the NEXT idiotic GOP smear against @HillaryClinton will be. It's coming for sure. Just don't know details yet. #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""wondering"", ""next"", ""idiotic"", ""gop"", ""smear"", ""coming"", ""sure"", ""dont"", ""know"", ""details"", ""yet"", ""sem"", ""st""]]",1,1
/#Leftest #Hippocratic #Domecrats won't vote for #FineLady #MichellBachmann but will vote for #EmailScandal #Benghazi #Killary #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""leftest"", ""hippocratic"", ""domecrats"", ""wont"", ""vote"", ""fine"", ""lady"", ""michell"", ""bachmann"", ""vote"", ""email"", ""scandal"", ""benghazi"", ""killary"", ""sem"", ""st""]]",0,1
#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs  #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillaryon"", ""cnn"", ""wicked"", ""person"", ""flees"", ""one"", ""chasing"", ""proverbs"", ""sem"", ""st""]]",1,1
RT @CattyHipster: Live today like it's your last day. But pay bills and dress appropriately just in case it isn't. #420 #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""rt"", ""live"", ""today"", ""like"", ""last"", ""day"", ""pay"", ""bills"", ""dress"", ""appropriately"", ""case"", ""isnt"", ""420"", ""sem"", ""st""]]",0,1
"@DragonflyJonez @GKJill Yeah, well, he wasn't a fan of gay marriage a few years ago, so let's just see how this goes, ok? #SemST","[""atheism""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""yeah"", ""well"", ""wasnt"", ""fan"", ""gay"", ""marriage"", ""years"", ""ago"", ""lets"", ""see"", ""goes"", ""ok"", ""sem"", ""st""]]",0,1
"No matter what you are going thru, I assure you somewhere in the world somebody has it 10x worse.  #bethankful #hope #SemST","[""atheism""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""matter"", ""going"", ""thru"", ""assure"", ""somewhere"", ""world"", ""somebody"", ""10x"", ""worse"", ""bethankful"", ""hope"", ""sem"", ""st""]]",0,1
Bethany Hamilton Reveals She is Resting in God's Promises Despite 'Unknow #bible #biblestudy #scripture #Christianity #ChristianNews #SemST,"[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""bethany"", ""hamilton"", ""reveals"", ""resting"", ""gods"", ""promises"", ""despite"", ""unknow"", ""bible"", ""biblestudy"", ""scripture"", ""christianity"", ""christian"", ""news"", ""sem"", ""st""]]",0,1
"@dw_english. Even in death, the truth prevails! Yet, what a sorrowful reality. #freethinkers #SemST","[""atheism""]",1,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,"[[""even"", ""death"", ""truth"", ""prevails"", ""yet"", ""sorrowful"", ""reality"", ""freethinkers"", ""sem"", ""st""]]",0,1
"After Hindu girls #Sheila #Munni and Muslim #Razia, it's time for Christian #Mary in the item song world. #Bollywood #SemST","[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,"[[""hindu"", ""girls"", ""sheila"", ""munni"", ""muslim"", ""razia"", ""time"", ""christian"", ""mary"", ""item"", ""song"", ""world"", ""bollywood"", ""sem"", ""st""]]",0,1
"How did the crucifixion of #Christ lead the world to #salvation, when the only thing it started was the #DarkAges? #skepticism #SemST","[""atheism""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""crucifixion"", ""christ"", ""lead"", ""world"", ""salvation"", ""thing"", ""started"", ""dark"", ""ages"", ""skepticism"", ""sem"", ""st""]]",0,1
"The devil is our enemy, and our mind is the battleground he plays in. -Josh Ricketson #RUSH #RUSHSWAG #SemST","[""atheism""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""devil"", ""enemy"", ""mind"", ""battleground"", ""plays"", ""josh"", ""ricketson"", ""rush"", ""rushswag"", ""sem"", ""st""]]",0,1
''They tried to bury us. They didn't know we were #seeds.'' #MexicanProverb #Tolerance #Coexistence #peace #Liberty #OneWorld #SemST,"[""atheism""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""tried"", ""bury"", ""us"", ""didnt"", ""know"", ""seeds"", ""mexican"", ""proverb"", ""tolerance"", ""coexistence"", ""peace"", ""liberty"", ""one"", ""world"", ""sem"", ""st""]]",0,1
While scientists fantasize about bugs I am considering gods.  ~~   #TheLUPOL #theism #futurism #singularity #AncientAliens #SemST,"[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""scientists"", ""fantasize"", ""bugs"", ""considering"", ""gods"", ""lupol"", ""theism"", ""futurism"", ""singularity"", ""ancient"", ""aliens"", ""sem"", ""st""]]",0,1
There's this guy I know who hangs out with all the wrong people. It's like he doesn't care about his reputation. #SemST,"[""atheism""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""theres"", ""guy"", ""know"", ""hangs"", ""wrong"", ""people"", ""like"", ""doesnt"", ""care"", ""reputation"", ""sem"", ""st""]]",0,1
#God has a wonderful way of turning negatives into positives. #SemST,"[""atheism""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""god"", ""wonderful"", ""way"", ""turning"", ""negatives"", ""positives"", ""sem"", ""st""]]",0,1
@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST,"[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""sought"", ""truth"", ""soul"", ""found"", ""strong"", ""enough"", ""stand"", ""merits"", ""sem"", ""st""]]",0,1
Celebrity atheism is beginning to irk me #initforthemoney #SemST,"[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""celebrity"", ""atheism"", ""beginning"", ""irk"", ""initforthemoney"", ""sem"", ""st""]]",1,1
Bigoted much? Rt>@RockyMtsunshine no doubt you were there in your pink tights and matching feathers and saw the whole non-thing? #SemST,"[""atheism""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""bigoted"", ""much"", ""rt"", ""doubt"", ""pink"", ""tights"", ""matching"", ""feathers"", ""saw"", ""whole"", ""nonthing"", ""sem"", ""st""]]",0,1
"no matter what I face, at the end of the day, I know I will be okay, because I know the Maker of the day...         #HappyNote #SemST","[""atheism""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""matter"", ""face"", ""end"", ""day"", ""know"", ""okay"", ""know"", ""maker"", ""day"", ""happy"", ""note"", ""sem"", ""st""]]",0,1
@michaelshermer Praying is ignorance. There's no God. Loving is what matters & it requires honesty. We must conserve h20! #Drought #SemST,"[""atheism""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,"[[""praying"", ""ignorance"", ""theres"", ""god"", ""loving"", ""matters"", ""requires"", ""honesty"", ""must"", ""conserve"", ""h20"", ""drought"", ""sem"", ""st""]]",0,1
(it's just a night watcheasy to set up. staggered pickets (google it) work best)  #WhoIsBurningBlackChurches #SemST,"[""atheism""]",2,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg,"[[""night"", ""watcheasy"", ""set"", ""staggered"", ""pickets"", ""google"", ""work"", ""best"", ""burning"", ""black"", ""churches"", ""sem"", ""st""]]",0,1
True faith is belief in the reality of absolute values. ~ William Ralph Inge #SemST,"[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""true"", ""faith"", ""belief"", ""reality"", ""absolute"", ""values"", ""william"", ""ralph"", ""inge"", ""sem"", ""st""]]",0,1
"For no one can lay any foundation other than the one that has been laid, that foundation is #Christ. #SemST","[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""one"", ""lay"", ""foundation"", ""one"", ""laid"", ""foundation"", ""christ"", ""sem"", ""st""]]",0,1
"..    "" ""So decree whatever thou desirest to decree for thou canst only decree the life of this world #SemST","[""atheism""]",0,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos,"[[""decree"", ""whatever"", ""thou"", ""desirest"", ""decree"", ""thou"", ""canst"", ""decree"", ""life"", ""world"", ""sem"", ""st""]]",0,1
"1 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #TeamJesus #SemST","[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""1"", ""holy"", ""mary"", ""mother"", ""god"", ""pray"", ""us"", ""sinners"", ""hour"", ""death"", ""amen"", ""rosary"", ""team"", ""jesus"", ""sem"", ""st""]]",0,1
"Our country is finally moving beyond outdated, religious definitions of marriage. @RoySpeckhardt @americnhumanist #marriage #SemST","[""atheism""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""country"", ""finally"", ""moving"", ""beyond"", ""outdated"", ""religious"", ""definitions"", ""marriage"", ""marriage"", ""sem"", ""st""]]",0,1
"The worst day of my life so far is here, setting my Nan to rest. Even as a physicist, times like these make you wonder. #SemST","[""atheism""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""worst"", ""day"", ""life"", ""far"", ""setting"", ""nan"", ""rest"", ""even"", ""physicist"", ""times"", ""like"", ""make"", ""wonder"", ""sem"", ""st""]]",0,1
"Beginning to wonder if Rev. 13:17 mark, buying & selling is relevant ala corporations' behavior (Civil War games), etc. #bible #SemST","[""atheism""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""beginning"", ""wonder"", ""rev"", ""13"", ""17"", ""mark"", ""buying"", ""selling"", ""relevant"", ""ala"", ""corporations"", ""behavior"", ""civil"", ""war"", ""games"", ""etc"", ""bible"", ""sem"", ""st""]]",0,1
You don't run a thing till you run it to the King. #SemST,"[""atheism""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""dont"", ""run"", ""thing"", ""till"", ""run"", ""king"", ""sem"", ""st""]]",0,1
Could all those who believe in a god please leave. The meeting will now continue for the grown ups only. #SemST,"[""atheism""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""could"", ""believe"", ""god"", ""please"", ""leave"", ""meeting"", ""continue"", ""grown"", ""ups"", ""sem"", ""st""]]",0,1
"Tomorrow is promised to no one, so cherish the people #God has placed in your life today! #SemST","[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""tomorrow"", ""promised"", ""one"", ""cherish"", ""people"", ""god"", ""placed"", ""life"", ""today"", ""sem"", ""st""]]",0,1
@ACLU Get rid of religion... and all this will go away overnight... #humanist #egalitarian #SemST,"[""atheism""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""get"", ""rid"", ""religion"", ""go"", ""away"", ""overnight"", ""humanist"", ""egalitarian"", ""sem"", ""st""]]",0,1
It's Ask an Atheist Day! Have a question?   #askanatheist #SemST,"[""atheism""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""ask"", ""atheist"", ""day"", ""question"", ""askanatheist"", ""sem"", ""st""]]",1,1
"'God ensures justice for orphans and widows and God loves the strangers, providing them with food and clothing.' Deut 10:18. #giving #SemST","[""atheism""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""god"", ""ensures"", ""justice"", ""orphans"", ""widows"", ""god"", ""loves"", ""strangers"", ""providing"", ""food"", ""clothing"", ""deut"", ""10"", ""18"", ""giving"", ""sem"", ""st""]]",0,1
Thankful for another day of this awesome life God has given us :) #peace #thankful #goodFather #abundant #joy #life #goodness #SemST,"[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""thankful"", ""another"", ""day"", ""awesome"", ""life"", ""god"", ""given"", ""us"", ""peace"", ""thankful"", ""good"", ""father"", ""abundant"", ""joy"", ""life"", ""goodness"", ""sem"", ""st""]]",0,1
It's #PrayerTime! Call in 7AM Friday 605-475-3220 access code: 685783 #PrayForCharleston #prayforUSA #atlprayer #theLifeLine #SemST,"[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""prayer"", ""time"", ""call"", ""7am"", ""friday"", ""6054753220"", ""access"", ""code"", ""685783"", ""pray"", ""charleston"", ""prayfor"", ""usa"", ""atlprayer"", ""life"", ""line"", ""sem"", ""st""]]",0,1
"I bind and cast out every spirit of the desert owl, fox, dragon, hyena, and vulture in the name of Jesus -Isa. 34:1115 #SemST","[""atheism""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""bind"", ""cast"", ""every"", ""spirit"", ""desert"", ""owl"", ""fox"", ""dragon"", ""hyena"", ""vulture"", ""name"", ""jesus"", ""isa"", ""34"", ""1115"", ""sem"", ""st""]]",0,1
